frequency	x	y	r
28622.501159283333	-0.00026718666578220144	-0.0012773830995393193	0.0003778590064344366
28668.936095286314	-0.000266525697408308	-0.001272588080042972	0.0003769242559957769
28715.446362710394	-0.00026772100306422537	-0.0013057599115433593	0.0003786146734655565
28762.032085403178	-0.0002860463613407815	-0.0013219728428626896	0.00040453064367560815
28808.69338497405	-0.00027226151144848636	-0.0012432324066900418	0.00038503592200264707
28855.430384524538	-0.00025294784975957185	-0.001132651078594136	0.00035772227970309856
28902.243206410105	-0.00026732932945885827	-0.0011912549579522094	0.00037806076334082273
28949.131973732277	-0.0002988867698980252	-0.001314049756187452	0.0004226897236036738
28996.096810338655	-0.0003019014437768816	-0.0013609976249552716	0.0004269531162892844
29043.1378385847	-0.0003420253626338525	-0.0014986644852755557	0.00048369690651237025
29090.255182318004	-0.00035358818200528866	-0.001503950230032584	0.0005000492024867255
29137.44896613224	-0.000350194401870186	-0.0015611393509562792	0.000495249672591951
29184.71931312894	-0.00035974708107052464	-0.0015860840674820594	0.0005087592010740693
29232.066347901764	-0.00036421117205523846	-0.0016181272715007965	0.000515072379088319
29279.49019504439	-0.0003552063118436976	-0.0015064585884248043	0.0005023375836498841
29326.99097840441	-0.00036428008664970675	-0.0015852118958162985	0.0005151698390424615
29374.56882406764	-0.00036059014685563045	-0.0014674315699277367	0.0005099514761413386
29422.223855881668	-0.0003334913921595123	-0.001368114754591299	0.00047162804972666677
29469.956199932312	-0.00038609220912034543	-0.0016308657936097953	0.0005460168384645817
29517.765980813238	-0.00041182958406076357	-0.0017959825630027243	0.0005824149831652024
29565.65332461025	-0.00041830740944520987	-0.0018057019170265576	0.0005915760116785711
29613.618357409166	-0.0004045535964950657	-0.0016353207849725457	0.0005721251828701346
29661.661205295786	-0.0004239895244264919	-0.0018178778771438487	0.0005996117357480635
29709.781993609853	-0.0003906502472665019	-0.0016153127670400097	0.0005524628778286901
29757.98084992931	-0.0004370900991299968	-0.0017313342353003746	0.000618138746168642
29806.257899593904	-0.00042854557126748954	-0.0016718064806611138	0.0006060549589814094
29854.613270927643	-0.0004818954547867281	-0.0019671522609449473	0.0006815030878053415
29903.047090016342	-0.0004977434619716099	-0.002016902078305259	0.0007039155545027876
29951.559484437952	-0.0004761864374647488	-0.0018936673056434647	0.0006734293180807755
30000.150581024343	-0.00042356620548735695	-0.0015508922498223172	0.0005990130723631295
30048.82050884561	-0.00043624839664334125	-0.0016994000022285758	0.0006169483990965305
30097.569394733626	-0.0004929739844931558	-0.001901461167946092	0.0006971704947673248
30146.39736701241	-0.0005049070991679855	-0.0019242325425976232	0.0007140464673818223
30195.304554005987	-0.0005246860738693844	-0.0021267825131047234	0.000742018161654375
30244.291084038367	-0.000557735227717597	-0.002192703326691254	0.0007887567232514723
30293.35708692571	-0.0005443973120109777	-0.002206925064455225	0.0007698940619653821
30342.502689499895	-0.000574232024229667	-0.002228891791957816	0.0008120867166145509
30391.72802306922	-0.0005687316809146194	-0.0021119249099456733	0.0008043080565007023
30441.03321521163	-0.0005624463613704513	-0.002140472229989725	0.0007954192723574911
30490.41839723543	-0.0005764760261316481	-0.002166307034844648	0.0008152602145383235
30539.883697464633	-0.0006188532332163362	-0.0023055360029811474	0.0008751906355329826
30589.429245715393	-0.0006162810634171097	-0.0023271098717149597	0.00087155303811819
30639.055174042085	-0.0006117803713010965	-0.002320267834234043	0.0008651880982876584
30688.76161076872	-0.0006411238866501504	-0.0023714871457423533	0.0009066860956619936
30738.548687949675	-0.0006322827222846025	-0.0023551153524745197	0.0008941828011090661
30788.4165354011	-0.0006107465930400828	-0.002212773262422324	0.0008637261150504464
30838.36528443129	-0.0006541996647335158	-0.0024402800744392507	0.0009251780383660698
30888.39506709462	-0.0006678730764827039	-0.0024639309201456073	0.0009445151627056832
30938.506013953316	-0.0006895197738859961	-0.002517586963108337	0.0009751282157540055
30988.69825706174	-0.0006813038101413359	-0.002511101472813345	0.0009635090883983415
31038.9719277282	-0.0006783599046096492	-0.0024344929633989053	0.000959345777269085
31089.32715875312	-0.000679708250052157	-0.002378844987176216	0.0009612526256806435
31139.76408219088	-0.0006562674929066661	-0.0022667759894269973	0.0009281023890131961
31190.28283084191	-0.0007355407532579594	-0.0026060208874258764	0.0010402117089355284
31240.88353676058	-0.0007494594791955353	-0.002647404115540253	0.0010598957599274026
31291.566333493392	-0.0007185944721977842	-0.0025019586420791484	0.0010162460484284424
31342.331354586862	-0.0006984067627513379	-0.0024566475747982955	0.0009876963159360307
31393.17873284142	-0.0006919918734892806	-0.0022647405025498	0.0009786242925405076
31444.10860105751	-0.0007449101349134659	-0.002547813034524498	0.0010534620155437954
31495.12109501984	-0.0007570610735498901	-0.0025811550204698037	0.00107064603775899
31546.216346782785	-0.000787882713967654	-0.002746648968505498	0.0011142344196523784
31597.394492131058	-0.000790841349796131	-0.0027577750333533093	0.0011184185625671334
31648.65566535724	-0.0008298976722544582	-0.0028173809094159223	0.0011736525434841165
31700.000000007833	-0.0007760422457379824	-0.002681959406598122	0.001097489468897129
